transaction_id,customer_id,channel,region,customer_segment,device_type,transaction_amount,txn_count_last_24h,txn_count_last_7d,avg_amount_last_30d,velocity_flag,high_amount_flag,new_device_flag,odd_hour_flag,high_risk_flag,event_time_unix,predicted_high_risk_flag,probability_0,probability_1,risk_bucket
19,164820,Mobile App,South,Retail,Known,1612.51,3,5,1204.54,0,0,0,1,0,1735697700.0,0,0.9646383933120598,0.0353616066879401,Low
20,887201,POS,South,SME,Known,1679.25,0,6,1519.01,0,0,0,1,0,1735693860.0,0,0.9713897144194032,0.0286102855805967,Low
21,421879,Mobile App,East,SME,Known,567.83,4,11,525.53,0,0,0,0,0,1735726380.0,0,0.993379656454707,0.0066203435452929,Low
22,818315,Mobile App,South,Retail,Known,940.55,1,5,698.54,0,0,0,0,0,1735856820.0,0,0.9958093543759036,0.0041906456240965,Low
23,427069,Mobile App,North,Retail,New,3675.23,1,4,2619.78,0,0,1,0,1,1735765680.0,0,0.86803241175754,0.13196758824246,Low
24,876997,Mobile App,South,Retail,Known,569.0,1,5,443.0,0,0,0,1,0,1735691280.0,0,0.9675904795805754,0.0324095204194245,Low
25,299041,Mobile App,North,Retail,Known,1034.84,2,7,732.09,0,0,0,1,0,1735709400.0,0,0.9569940217580354,0.0430059782419646,Low
26,891743,POS,West,Retail,Known,1333.6,2,7,1073.1,0,0,0,0,0,1735760160.0,0,0.9976731496332713,0.0023268503667289,Low
27,203355,Mobile App,East,Retail,Known,1612.2,0,8,1688.73,0,0,0,1,0,1735694760.0,0,0.9505321074803964,0.0494678925196036,Low
28,335796,Mobile App,North,Retail,Known,782.08,1,10,608.06,0,0,0,0,0,1735757280.0,0,0.993700418634861,0.0062995813651389,Low
29,314176,Web,South,Retail,Shared,6245.73,5,12,6560.41,0,0,0,0,0,1735721880.0,0,0.991091281051712,0.008908718948288,Low
30,284779,Mobile App,North,SME,Known,3194.62,1,8,1963.31,0,0,0,1,1,1735785960.0,0,0.9288421323198304,0.0711578676801695,Low
31,447449,Mobile App,South,Retail,Known,1078.58,0,1,1148.02,0,0,0,0,0,1735764720.0,0,0.9961121522069222,0.0038878477930778,Low
32,521909,Web,South,Retail,Known,1897.06,1,9,1933.39,0,0,0,0,0,1735730280.0,0,0.9940825727299608,0.0059174272700392,Low
33,358795,Mobile App,North,Retail,Known,2627.45,2,8,1678.45,0,0,0,0,0,1735728180.0,0,0.9942543845065668,0.0057456154934331,Low
34,586232,Mobile App,South,Retail,Known,1340.72,0,8,1009.74,0,0,0,1,1,1735698180.0,0,0.9422190104254438,0.0577809895745562,Low
35,600186,Web,North,Retail,Known,771.35,0,9,552.14,0,0,0,1,0,1735694040.0,0,0.9619739344448838,0.0380260655551162,Low
36,256730,Mobile App,West,SME,Known,1441.54,0,6,1217.77,0,0,0,1,0,1735708920.0,0,0.9647443559629104,0.0352556440370896,Low
37,970910,Call Center,West,SME,Known,1322.39,1,5,891.1,0,0,0,1,0,1735696980.0,0,0.9828762754990068,0.017123724500993,Low
38,484681,Mobile App,West,Retail,Known,2309.67,1,4,1490.52,0,0,0,1,0,1735693440.0,0,0.9664173549013678,0.0335826450986321,Low
39,249503,POS,West,Retail,Shared,4431.24,2,7,2884.98,0,0,0,1,0,1735702560.0,0,0.9605810677797372,0.0394189322202628,Low
40,754811,Web,South,Retail,Known,1020.86,0,5,661.19,0,0,0,0,0,1735760460.0,0,0.9977267673609724,0.0022732326390276,Low
41,627035,Mobile App,East,Retail,Known,437.65,3,9,463.18,0,0,0,1,0,1735690200.0,0,0.9620820828754096,0.0379179171245903,Low
42,748143,Mobile App,East,Retail,New,1375.31,1,6,1329.48,0,0,1,1,1,1735702020.0,1,0.645955469843177,0.354044530156823,Medium
43,552366,POS,North,Retail,New,1552.32,3,7,1342.01,0,0,1,1,0,1735709460.0,1,0.6603563606037707,0.3396436393962293,Medium
44,165725,Web,West,SME,Known,1796.78,1,7,1265.6,0,0,0,0,0,1735715280.0,0,0.9975885403108864,0.0024114596891137,Low
45,229981,Mobile App,West,Retail,Known,694.5,0,6,710.03,0,0,0,1,0,1735696800.0,0,0.9675537704437605,0.0324462295562395,Low
46,184654,Mobile App,North,SME,Known,1031.92,3,8,977.74,0,0,0,0,0,1735809480.0,0,0.9929549686444498,0.0070450313555502,Low
47,691723,POS,East,SME,Known,378.7,0,2,401.72,0,0,0,0,0,1735720680.0,0,0.99640519726444,0.0035948027355599,Low
48,419030,Mobile App,East,Retail,Known,7147.44,3,7,6180.38,0,0,0,0,0,1735716180.0,0,0.9948925339877782,0.0051074660122218,Low
49,428947,Mobile App,West,SME,Known,721.41,4,11,524.28,0,0,0,1,0,1735689900.0,0,0.9653183708048108,0.0346816291951891,Low
50,655839,POS,West,SME,New,6247.75,3,7,6576.13,0,0,1,0,0,1735713480.0,0,0.9622278409501548,0.0377721590498452,Low
51,373538,Mobile App,East,Retail,Shared,8796.36,0,14,9570.7,0,0,0,0,0,1735755000.0,0,0.9947586129237423,0.0052413870762575,Low
52,431236,Web,West,Retail,New,4420.54,1,5,3018.4,0,0,1,1,1,1735698480.0,1,0.6406399383591763,0.3593600616408237,Medium
53,628178,Web,West,Retail,Known,2687.01,4,8,2567.04,0,0,0,1,0,1735705140.0,0,0.9688424379113172,0.0311575620886828,Low
54,665894,POS,West,Corporate,New,2264.22,1,5,2114.88,0,0,1,1,0,1735690320.0,1,0.7477201744158405,0.2522798255841595,Low
55,589492,Mobile App,East,SME,Known,799.16,4,10,566.31,0,0,0,0,0,1735825260.0,0,0.9945528329012812,0.0054471670987187,Low
56,356840,POS,West,Retail,Known,878.48,0,6,721.98,0,0,0,1,0,1735692060.0,0,0.9749551788423718,0.0250448211576282,Low
57,573254,POS,West,Retail,Known,1478.8,0,5,1350.89,0,0,0,0,0,1735771800.0,0,0.9981080762414158,0.0018919237585841,Low
58,449457,Mobile App,West,Retail,Known,16069.43,2,7,9988.51,0,0,0,1,0,1735703100.0,0,0.9703641318610868,0.029635868138913,Low
59,765987,Web,South,Retail,Known,4097.7,2,7,3177.56,0,0,0,0,0,1735721460.0,0,0.9934203721471012,0.0065796278528989,Low
60,370936,POS,North,Retail,Shared,7741.84,1,7,5570.86,0,0,0,0,0,1735730520.0,0,0.997789997477836,0.0022100025221639,Low
61,339931,Web,North,Retail,New,2381.53,3,7,1931.29,0,0,1,1,1,1735695060.0,1,0.6296666126776358,0.3703333873223641,Medium
62,339629,Web,West,Retail,Known,11483.12,4,8,10144.95,0,0,0,1,0,1735710660.0,0,0.9677741499127877,0.0322258500872123,Low
63,305041,Web,East,SME,Shared,2085.27,3,7,2142.93,0,0,0,1,0,1735703760.0,0,0.9659451094640698,0.0340548905359302,Low
64,798361,POS,North,Retail,Known,2608.37,4,9,2110.24,0,0,0,1,0,1735691640.0,0,0.9572377550380322,0.0427622449619677,Low
65,831912,Web,West,Retail,Known,3489.35,2,11,3240.99,0,0,0,0,0,1735754040.0,0,0.9940745043392316,0.0059254956607683,Low
66,517113,Web,West,Retail,Known,2574.26,2,5,2229.99,0,0,0,1,0,1735691220.0,0,0.9713729235551142,0.0286270764448858,Low
67,168148,Mobile App,North,SME,New,465.82,3,12,463.34,0,0,1,0,0,1735727700.0,0,0.9187198182189572,0.0812801817810426,Low
68,877089,Web,South,Retail,Known,3120.98,0,2,2949.12,0,0,0,1,0,1735703160.0,0,0.989067127603401,0.010932872396599,Low
69,748531,Mobile App,South,Retail,Known,9329.36,3,8,7998.63,0,0,0,1,0,1735697280.0,0,0.9649366362210148,0.0350633637789851,Low
70,351995,Mobile App,North,Retail,Known,1053.69,3,7,892.44,0,0,0,0,0,1735729140.0,0,0.994758890572784,0.0052411094272159,Low
71,778843,Mobile App,West,Retail,New,1741.43,2,6,1343.01,0,0,1,0,0,1735720320.0,0,0.9474980097174408,0.052501990282559,Low
72,672843,Web,South,SME,Known,4006.6,2,6,3937.19,0,0,0,1,0,1735703220.0,0,0.9686305105430572,0.0313694894569428,Low
73,356508,Mobile App,East,Retail,Known,887.39,3,8,608.8,0,0,0,0,0,1735715460.0,0,0.993747443516971,0.006252556483029,Low
74,903591,Web,North,Retail,Known,626.4,3,6,541.22,0,0,0,1,0,1735699740.0,0,0.9729390800627844,0.0270609199372157,Low
75,996942,POS,South,Retail,Known,9173.32,0,7,8376.03,0,0,0,0,0,1735761300.0,0,0.9978295676654708,0.002170432334529,Low
76,206530,Mobile App,South,Retail,Shared,1077.59,4,8,864.02,0,0,0,1,0,1735703100.0,0,0.9643945124588528,0.0356054875411472,Low
77,704365,Mobile App,North,Retail,Known,3700.79,2,8,3262.4,0,0,0,1,0,1735699680.0,0,0.9637125221082308,0.036287477891769,Low
78,922352,Mobile App,West,Retail,Known,463.54,3,7,322.1,0,0,0,0,0,1735739760.0,0,0.995275059849352,0.0047249401506479,Low
79,560337,POS,North,Retail,Known,1631.37,0,6,1238.52,0,0,0,1,0,1735690200.0,0,0.9619493078187256,0.0380506921812744,Low
80,824839,POS,East,Retail,Known,3772.6,4,11,3849.13,0,0,0,1,0,1735700820.0,0,0.9788434864183208,0.0211565135816792,Low
81,905889,Mobile App,West,Retail,Known,988.92,3,7,813.53,0,0,0,1,0,1735706520.0,0,0.9718787593963664,0.0281212406036334,Low
82,559773,POS,South,Retail,Known,4163.74,0,6,3113.21,0,0,0,0,0,1735766580.0,0,0.9978187010435138,0.0021812989564862,Low
83,308261,Mobile App,West,Retail,Known,19469.3,2,7,15113.61,0,0,0,0,0,1735797720.0,0,0.9974131056006256,0.0025868943993743,Low
84,864469,Web,North,Retail,Known,9503.85,2,6,6233.37,0,0,0,0,0,1735734960.0,0,0.9975323674258092,0.0024676325741908,Low
85,441097,Web,West,Retail,Known,2719.11,2,5,2943.24,0,0,0,0,0,1735713960.0,0,0.9976118024550844,0.0023881975449157,Low
86,415139,Mobile App,South,SME,New,405.7,5,14,428.14,0,0,1,0,0,1735726440.0,0,0.8870332295571457,0.1129667704428543,Low
87,271829,Mobile App,South,Retail,New,10608.4,5,9,11130.54,0,0,1,1,0,1735708800.0,1,0.6802139846649559,0.3197860153350441,Medium
88,371836,POS,South,Retail,Known,10031.08,0,0,7540.9,0,0,0,1,0,1735702320.0,0,0.9761230527512732,0.0238769472487267,Low
89,538974,Mobile App,South,Retail,Known,9809.29,3,8,6962.03,0,0,0,0,0,1735797900.0,0,0.9952743026872246,0.0047256973127753,Low
90,302283,Web,North,Retail,New,527.4,1,7,359.14,0,0,1,1,1,1735693980.0,1,0.6373233169708017,0.3626766830291982,Medium
91,296769,Web,North,SME,Shared,602.85,1,10,645.5,0,0,0,1,0,1735704900.0,0,0.9591761053271682,0.0408238946728317,Low
92,661353,Mobile App,East,Retail,Known,360.2,0,6,297.91,0,0,0,0,0,1735772160.0,0,0.9946002298244052,0.0053997701755949,Low
93,323165,POS,North,Retail,New,4799.1,3,4,2988.98,0,0,1,0,0,1735735800.0,0,0.9227226822442685,0.0772773177557316,Low
94,723587,Mobile App,South,SME,New,4393.01,2,7,4299.71,0,0,1,1,1,1735690620.0,1,0.7211285299454885,0.2788714700545115,Low
95,635822,Mobile App,East,SME,Known,3618.47,4,9,2206.21,0,0,0,1,0,1735690440.0,0,0.9612813285425748,0.0387186714574252,Low
96,587879,POS,West,Retail,Known,4501.92,4,9,3347.5,0,0,0,0,0,1735715760.0,0,0.9934367742234276,0.0065632257765725,Low
97,664685,POS,North,Retail,Known,1503.73,1,2,1261.22,0,0,0,0,0,1735713420.0,0,0.9976485564402008,0.0023514435597993,Low
98,882038,POS,North,Retail,New,729.67,3,9,450.44,0,0,1,1,1,1735710660.0,1,0.5936357227114781,0.4063642772885218,Medium
99,453531,Mobile App,East,Corporate,Known,1183.0,5,7,1008.88,0,0,0,1,0,1735702560.0,0,0.9585915022492272,0.0414084977507729,Low
100,363160,Call Center,North,Corporate,Known,3744.9,2,9,3710.71,0,0,0,0,0,1735844940.0,0,0.9979619672007212,0.0020380327992789,Low
101,679879,Mobile App,North,SME,Known,770.62,4,10,749.56,0,0,0,1,0,1735701000.0,0,0.966258240449105,0.0337417595508949,Low
102,320884,Mobile App,North,Retail,Known,4495.2,1,6,4523.37,0,0,0,0,0,1735713840.0,0,0.9956967141099148,0.0043032858900853,Low
103,123247,POS,South,SME,Known,4894.31,2,4,3981.67,0,0,0,1,0,1735708260.0,0,0.9705192161866684,0.0294807838133315,Low
104,124300,Mobile App,East,Retail,Known,1637.0,1,3,1538.13,0,0,0,1,0,1735696260.0,0,0.9634687171543226,0.0365312828456773,Low
105,567281,Web,East,Retail,Known,675.02,1,4,716.15,0,0,0,1,0,1735697700.0,0,0.9709500801939106,0.0290499198060894,Low
106,707086,Call Center,South,Retail,Known,2392.31,0,6,1701.24,0,0,0,1,0,1735779720.0,0,0.967587697222542,0.0324123027774579,Low
107,633556,Mobile App,East,Retail,Known,2255.66,2,10,2407.0,0,0,0,0,0,1735759920.0,0,0.9953312407265426,0.0046687592734574,Low
108,448951,Web,West,Retail,Known,15167.68,3,9,16065.69,0,0,0,1,0,1735697580.0,0,0.969486588216217,0.0305134117837829,Low
109,374329,Mobile App,North,Retail,New,1377.88,1,7,1362.25,0,0,1,0,0,1735764600.0,0,0.910719922966196,0.089280077033804,Low
110,819064,POS,South,Retail,Known,4449.41,1,10,3358.8,0,0,0,1,0,1735698000.0,0,0.9568998474965116,0.0431001525034885,Low
111,842139,Web,West,SME,Known,2500.54,3,5,1887.24,0,0,0,0,0,1735725000.0,0,0.9960184680076494,0.0039815319923505,Low
112,532315,Mobile App,South,Retail,Known,3013.37,2,5,2522.44,0,0,0,1,0,1735692600.0,0,0.9715853791586138,0.0284146208413862,Low
113,616588,Mobile App,South,SME,Known,1161.02,2,7,1268.91,0,0,0,0,0,1735766040.0,0,0.9954201586551248,0.0045798413448751,Low
114,336584,Web,East,Retail,Known,422.43,2,9,271.26,0,0,0,1,0,1735691460.0,0,0.9645232344719432,0.0354767655280566,Low
115,662332,Web,West,Retail,Known,2827.0,1,3,2675.95,0,0,0,0,0,1735718700.0,0,0.9978398975852666,0.0021601024147334,Low
116,937646,Web,West,SME,Known,3910.99,2,7,3517.43,0,0,0,0,0,1735744020.0,0,0.9961321932866902,0.0038678067133097,Low
117,476896,Mobile App,South,Retail,Known,177.24,1,10,176.91,0,0,0,1,0,1735694040.0,0,0.9677527649565346,0.0322472350434654,Low
118,148984,Web,South,Retail,Shared,924.63,2,5,886.14,0,0,0,1,0,1735708200.0,0,0.9871919966295326,0.0128080033704673,Low
119,402918,Mobile App,West,SME,Shared,432.18,2,6,329.78,0,0,0,1,0,1735691100.0,0,0.961710781816783,0.0382892181832169,Low
120,364712,POS,South,Corporate,Known,4640.06,2,4,5070.86,0,0,0,0,0,1735730880.0,0,0.99768118140011,0.0023188185998901,Low
121,220151,Mobile App,East,Retail,Known,5059.99,2,12,4559.74,0,0,0,1,0,1735702800.0,0,0.9523946993710146,0.0476053006289853,Low
122,555808,Web,East,Corporate,Known,1506.57,1,6,1564.48,0,0,0,0,0,1735719060.0,0,0.9948477954634002,0.0051522045365998,Low
123,233767,Mobile App,East,Retail,Known,1005.28,3,11,815.79,0,0,0,1,0,1735786740.0,0,0.9715253904529332,0.0284746095470668,Low
124,748663,Web,South,Retail,Known,1676.54,2,5,1021.24,0,0,0,1,0,1735702740.0,0,0.9707282673734472,0.0292717326265529,Low
125,803550,POS,North,SME,Known,1991.28,0,5,1781.39,0,0,0,1,0,1735691340.0,0,0.9771600783270852,0.0228399216729148,Low
126,236330,Web,West,Retail,Known,1445.13,0,1,916.29,0,0,0,0,0,1735730100.0,0,0.9964919861063926,0.0035080138936074,Low
127,580754,Web,East,Retail,Known,6584.57,4,7,4957.56,0,0,0,0,0,1735745220.0,0,0.9975954372623428,0.0024045627376571,Low
128,401648,POS,North,Retail,Known,1341.17,1,6,852.13,0,0,0,0,0,1735803600.0,0,0.9961321881867964,0.0038678118132036,Low
129,788519,Web,North,Retail,Known,653.9,2,7,664.71,0,0,0,1,0,1735695780.0,0,0.9731866109351648,0.0268133890648352,Low
130,113986,Mobile App,East,Retail,Known,813.33,1,6,562.34,0,0,0,1,0,1735707480.0,0,0.963698778563398,0.0363012214366019,Low
131,686146,POS,East,Retail,Known,1866.88,0,3,1976.66,0,0,0,0,0,1735756500.0,0,0.997724252389773,0.0022757476102269,Low
132,229312,Web,North,SME,Known,1130.28,1,3,1098.02,0,0,0,0,0,1735748760.0,0,0.9934739565594078,0.0065260434405921,Low
133,112666,Mobile App,East,SME,New,3125.97,5,9,2833.98,0,0,1,0,0,1735724880.0,0,0.9181188059406128,0.0818811940593873,Low
134,400804,Mobile App,North,Retail,New,433.54,1,6,371.75,0,0,1,1,0,1735700880.0,1,0.6924089089903731,0.3075910910096268,Medium
135,234633,Web,North,SME,Known,5939.23,3,7,5351.52,0,0,0,1,0,1735701600.0,0,0.9705921430361204,0.0294078569638796,Low
136,388998,Mobile App,South,Retail,Known,719.32,2,6,786.17,0,0,0,1,0,1735694340.0,0,0.9698262761844167,0.0301737238155831,Low
137,950937,POS,North,SME,Known,3046.49,1,5,3265.52,0,0,0,1,0,1735781340.0,0,0.9898131592741992,0.0101868407258006,Low
138,728776,POS,South,Retail,Shared,2151.92,3,7,1985.36,0,0,0,1,0,1735696380.0,0,0.971514759278317,0.0284852407216829,Low
139,807611,Mobile App,South,SME,Shared,331.03,2,5,333.02,0,0,0,0,0,1735720200.0,0,0.9925287718698772,0.0074712281301228,Low
140,384806,Mobile App,East,Retail,Shared,1592.55,0,6,1605.88,0,0,0,0,0,1735721160.0,0,0.9953621466118118,0.0046378533881882,Low
141,894824,Mobile App,West,Retail,Known,3266.96,3,7,2431.13,0,0,0,1,0,1735706160.0,0,0.9746564334497468,0.0253435665502531,Low
142,130535,Mobile App,East,Corporate,Shared,1662.92,4,8,1086.59,0,0,0,1,0,1735705200.0,0,0.9664564497228468,0.033543550277153,Low
143,475713,Mobile App,West,Retail,Known,9329.95,3,6,7071.23,0,0,0,0,0,1735729320.0,0,0.9955803772755102,0.0044196227244897,Low
144,938688,POS,North,Retail,Shared,7432.54,3,13,6266.77,0,0,0,1,0,1735707240.0,0,0.9607171814555794,0.0392828185444206,Low
145,451279,Mobile App,East,Retail,Known,1867.81,2,8,1706.65,0,0,0,1,0,1735700160.0,0,0.9661427135975368,0.0338572864024633,Low
146,921654,Mobile App,East,Retail,Shared,3700.37,3,10,3685.34,0,0,0,1,0,1735707900.0,0,0.9721492201711412,0.0278507798288588,Low
147,701661,Mobile App,East,Retail,Known,774.14,7,14,619.08,1,0,0,0,1,1735748940.0,1,0.7672314863310492,0.2327685136689507,Low
148,747972,POS,East,Retail,Known,7447.54,3,7,6845.78,0,0,0,0,0,1735811820.0,0,0.9977109048476016,0.0022890951523983,Low
149,589570,POS,North,Retail,Shared,811.93,3,11,791.08,0,0,0,0,0,1735725960.0,0,0.9950369447122251,0.0049630552877747,Low
150,556551,Mobile App,West,Retail,Shared,2839.64,3,12,1924.08,0,0,0,0,0,1735744440.0,0,0.9943350886040372,0.0056649113959627,Low
151,373109,Mobile App,West,Retail,Known,3209.07,5,9,2393.59,0,0,0,0,0,1735716960.0,0,0.994429303074718,0.005570696925282,Low
152,124538,Call Center,South,Retail,Known,1498.48,5,11,1076.99,0,0,0,0,0,1735724880.0,0,0.994990593909403,0.0050094060905969,Low
153,994498,Mobile App,South,Corporate,Known,1365.39,1,8,1087.02,0,0,0,0,0,1735849080.0,0,0.9951069189903547,0.0048930810096451,Low
154,301664,POS,South,Retail,Known,2280.56,0,5,1453.33,0,0,0,1,0,1735710360.0,0,0.9743172143081952,0.0256827856918048,Low
155,591234,Web,East,Retail,Known,1769.81,3,7,1648.14,0,0,0,1,0,1735692060.0,0,0.9656584726410784,0.0343415273589215,Low
156,999684,POS,West,Retail,Known,1281.98,3,5,979.03,0,0,0,0,0,1735802880.0,0,0.9967140575274184,0.0032859424725816,Low
157,239182,Web,East,Retail,Known,1019.49,1,3,846.91,0,0,0,0,0,1735746300.0,0,0.9957814320830066,0.0042185679169934,Low
158,572525,POS,West,Retail,New,1330.95,1,4,1109.99,0,0,1,1,1,1735707840.0,1,0.645197287509915,0.354802712490085,Medium
159,258338,POS,North,Retail,Shared,1921.51,4,8,2025.69,0,0,0,0,0,1735834980.0,0,0.9976061080000138,0.0023938919999861,Low
160,284064,Mobile App,West,SME,Known,4446.69,1,3,2865.06,0,0,0,1,0,1735704840.0,0,0.9683284861787972,0.0316715138212029,Low
161,314020,Mobile App,South,Retail,Shared,7206.05,4,7,4361.0,0,0,0,1,0,1735706340.0,0,0.965906222356844,0.0340937776431559,Low
162,723094,Mobile App,North,Retail,Known,811.21,1,5,777.67,0,0,0,0,0,1735723440.0,0,0.9951564086195148,0.0048435913804853,Low
163,997421,POS,West,Retail,Known,3078.64,3,11,3086.84,0,0,0,1,0,1735701120.0,0,0.9605475932093784,0.0394524067906214,Low
164,715270,Mobile App,South,Retail,Known,2534.07,2,7,1550.95,0,0,0,0,0,1735732740.0,0,0.9953612293843632,0.0046387706156366,Low
165,745914,Mobile App,North,Retail,Known,912.77,1,6,639.26,0,0,0,1,0,1735695540.0,0,0.9715250351513764,0.0284749648486237,Low
166,219176,Web,North,Retail,Known,5939.4,2,7,5546.84,0,0,0,1,0,1735693680.0,0,0.969647875980461,0.030352124019539,Low
167,318126,Web,North,Retail,Known,1338.3,1,6,980.13,0,0,0,0,0,1735717140.0,0,0.9954129581852867,0.0045870418147131,Low
168,318969,Mobile App,South,Retail,New,3212.64,1,8,3193.36,0,0,1,0,0,1735718760.0,0,0.936610674788667,0.0633893252113329,Low
169,222409,Web,East,SME,Shared,2066.61,2,6,2048.39,0,0,0,1,0,1735693620.0,0,0.9700926285306832,0.0299073714693166,Low
170,647707,POS,South,SME,Shared,4510.58,3,8,2777.02,0,0,0,0,0,1735809420.0,0,0.9936387633335952,0.0063612366664047,Low
171,353618,Web,West,Retail,Known,2329.87,4,11,2498.31,0,0,0,0,0,1735720200.0,0,0.9975163823115952,0.0024836176884046,Low
172,869598,Web,East,Retail,New,1291.44,3,9,898.3,0,0,1,1,1,1735695480.0,1,0.6291537383346715,0.3708462616653284,Medium
173,150015,Mobile App,North,Retail,Known,12557.73,0,5,9287.58,0,0,0,1,0,1735702980.0,0,0.9645923059988828,0.0354076940011171,Low
174,872838,Mobile App,South,Retail,Known,8730.72,2,9,6198.34,0,0,0,0,0,1735747560.0,0,0.9950994657642072,0.0049005342357927,Low
175,222096,Web,East,SME,Known,247.92,1,6,182.75,0,0,0,0,0,1735716240.0,0,0.9948989366364596,0.0051010633635403,Low
176,731347,Web,South,SME,New,2958.78,2,10,2911.31,0,0,1,1,0,1735697100.0,1,0.751645698425079,0.2483543015749209,Low
177,285340,Web,South,Retail,Shared,1270.13,0,5,779.5,0,0,0,1,0,1735693500.0,0,0.9767425949367768,0.0232574050632233,Low
178,210687,Web,West,SME,Known,963.48,4,7,863.75,0,0,0,1,0,1735709880.0,0,0.9757001264046872,0.0242998735953129,Low
179,974371,Mobile App,South,Retail,Shared,499.53,3,12,345.55,0,0,0,1,0,1735704360.0,0,0.9659584992688472,0.0340415007311529,Low
180,511357,Web,North,Retail,New,5547.83,3,8,5790.65,0,0,1,0,0,1735728000.0,0,0.9430160767067808,0.0569839232932192,Low
181,835716,Mobile App,East,Retail,Known,2339.24,1,5,1762.45,0,0,0,1,0,1735782960.0,0,0.9626318413927736,0.0373681586072265,Low
182,205878,POS,North,Retail,Known,243.15,2,13,214.95,0,0,0,1,0,1735699800.0,0,0.9607596209172272,0.0392403790827728,Low
183,827270,Mobile App,West,Retail,Known,5741.96,1,5,3877.87,0,0,0,0,0,1735759140.0,0,0.9962515838995384,0.0037484161004617,Low
184,298286,Mobile App,West,Retail,Known,1250.63,2,9,923.22,0,0,0,1,0,1735780680.0,0,0.971317395793786,0.028682604206214,Low
185,873290,Mobile App,West,SME,Known,2281.43,1,7,1453.33,0,0,0,1,1,1735773180.0,0,0.9538453585818648,0.0461546414181352,Low
186,874684,Web,West,Corporate,Known,2410.93,3,10,1979.78,0,0,0,0,0,1735798920.0,0,0.997753947002248,0.002246052997752,Low
187,264899,Web,East,Retail,Known,1894.04,3,9,2037.24,0,0,0,0,0,1735756020.0,0,0.99527837207762,0.00472162792238,Low
188,424767,Mobile App,West,Retail,Known,4241.5,2,7,4077.48,0,0,0,0,0,1735722000.0,0,0.9951609994900856,0.0048390005099142,Low
189,961882,Web,North,Retail,Known,531.01,2,10,359.4,0,0,0,1,0,1735708560.0,0,0.98932298895019,0.0106770110498101,Low
190,979858,Mobile App,South,Retail,Known,804.84,3,5,686.9,0,0,0,0,0,1735713900.0,0,0.9952544477846034,0.0047455522153966,Low
191,479989,POS,North,Retail,Known,1035.95,3,8,828.23,0,0,0,0,0,1735763760.0,0,0.9957506767402068,0.0042493232597931,Low
192,515515,Mobile App,South,Retail,Known,3979.95,2,9,3080.28,0,0,0,1,0,1735702500.0,0,0.9633841133480104,0.0366158866519895,Low
